buy,116160.97,116453.59,0.043707122,2025-08-22T16:00:00,2025-08-23T01:00:00,12.78957817,filled,113837.7506,120807.4088
sell,116453.59,115568.95,0.04365221,2025-08-23T01:00:00,2025-08-23T03:00:00,38.61649076,filled,118782.6618,111795.4464
buy,115568.95,115325.82,0.044153423,2025-08-23T03:00:00,2025-08-23T20:00:00,-10.73502181,filled,113257.571,120191.708
sell,115325.82,115028,0.044199965,2025-08-23T20:00:00,2025-08-23T21:00:00,13.16363372,filled,117632.3364,110712.7872
buy,115028,114521.45,0.044371623,2025-08-23T21:00:00,2025-08-24T14:00:00,-22.47644576,filled,112727.44,119629.12
sell,114521.45,114404.65,0.044469755,2025-08-24T14:00:00,2025-08-24T15:00:00,5.194067417,filled,116811.879,109940.592
buy,114404.65,114275.1,0.044537857,2025-08-24T15:00:00,2025-08-24T16:00:00,-5.769879315,filled,112116.557,118980.836
sell,114275.1,114426.66,0.044563102,2025-08-24T16:00:00,2025-08-24T17:00:00,-6.753983756,filled,116560.602,109704.096
buy,114426.66,113465.28,0.044474565,2025-08-24T17:00:00,2025-08-24T22:00:00,-42.75695755,filled,112138.1268,119003.7264
sell,113465.28,112618.52,0.04466298,2025-08-24T22:00:00,2025-08-25T00:00:00,37.81882456,filled,115734.5856,108926.6688
buy,112618.52,112764.01,0.0451667,2025-08-25T00:00:00,2025-08-25T04:00:00,6.571303163,filled,110366.1496,117123.2608
sell,112764.01,111424.79,0.045137562,2025-08-25T04:00:00,2025-08-25T08:00:00,60.44912638,filled,115019.2902,108253.4496
buy,111424.79,111800.01,0.045951328,2025-08-25T08:00:00,2025-08-25T09:00:00,17.24185741,filled,109196.2942,115881.7816
sell,111800.01,110984.04,0.045874218,2025-08-25T09:00:00,2025-08-25T10:00:00,37.43198569,filled,114036.0102,107328.0096
buy,110984.04,110679.68,0.046380128,2025-08-25T10:00:00,2025-08-25T19:00:00,-14.11625589,filled,108764.3592,115423.4016
sell,110679.68,109650,0.046443899,2025-08-25T19:00:00,2025-08-25T20:00:00,47.82235411,filled,112893.2736,106252.4928
buy,109650,110153.23,0.047098104,2025-08-25T20:00:00,2025-08-25T22:00:00,23.70117875,filled,107457,114036
sell,110153.23,109137.47,0.046990521,2025-08-25T22:00:00,2025-08-26T00:00:00,47.7310916,filled,112356.2946,105747.1008
buy,109137.47,112370.05,0.047646544,2025-08-26T00:00:00,2025-08-27T17:00:00,154.0212636,filled,106954.7206,113502.9688
sell,112370.05,111338.93,0.046961213,2025-08-27T17:00:00,2025-08-28T00:00:00,48.42264587,filled,114617.451,107875.248
buy,111338.93,113128.5,0.047613581,2025-08-28T00:00:00,2025-08-28T08:00:00,85.20783623,filled,109112.1514,115792.4872
sell,113128.5,112850.41,0.047236983,2025-08-28T08:00:00,2025-08-28T09:00:00,13.13613273,filled,115391.07,108603.36
buy,112850.41,113239.43,0.047411588,2025-08-28T09:00:00,2025-08-28T12:00:00,18.44405599,filled,110593.4018,117364.4264
sell,113239.43,112025.07,0.04733015,2025-08-28T12:00:00,2025-08-28T21:00:00,57.47584065,filled,115504.2186,108709.8528
buy,112025.07,112566.91,0.048099743,2025-08-28T21:00:00,2025-08-28T23:00:00,26.06236486,filled,109784.5686,116506.0728
