HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO,Fear_Greed_Index,ma_24h,ma_72h,ma_168h,TIME_UNIX,vol_8h,vol_24h,vol_72h,r_24h,r_72h,r_168h,TIME_UNIXs,dayofweek,is_weekend,hour_sin,hour_cos,month,Dominance
115918.3,115872.74,115979.99,115918.3,115861.39,21.34707,0.00018415363736244523,,,,,1757804400000,,,,,,,2025-09-13 23:00:00,5,1,-0.43051109680939403,0.9025852843493365,9,
115935.6,115918.3,139584.98,115935.6,115815.13,47.77229,0.0003859496033925743,,,,,1757808000000,,,,,,,2025-09-14 00:00:00,6,1,-0.8090169943744493,-0.5877852522931587,9,
115962.93,115935.6,115990.2,115962.93,104139.65,29.99197,0.00026771152299076464,,,,,1757811600000,,,,,,,2025-09-14 01:00:00,6,1,-0.9705064734688603,0.24107506083175906,9,
115852.95,115962.93,116109.0,115852.95,115750.0,23.16819,0.0001998912318083977,,,,,1757815200000,,,,,,,2025-09-14 02:00:00,6,1,0.9624552364537193,0.2714404498648186,9,
115660.87,115852.95,117284.19,115660.87,100985.17,41.01563,0.0003684808350534781,,,,,1757818800000,,,,,,,2025-09-14 03:00:00,6,1,0.9565595342403388,0.2915370601722979,9,
115751.0,115660.87,115768.0,115751.0,115454.29,56.29136,0.0004867062822040279,,,,,1757822400000,,,,,,,2025-09-14 04:00:00,6,1,-0.25881904510189246,0.9659258262892366,9,
115860.01,115751.0,115924.69,115860.01,115735.58,20.66171,0.00017836406554460647,,,,,1757826000000,,,,,,,2025-09-14 05:00:00,6,1,-0.0026179908854920358,-0.9999965730559898,9,
115734.24,115860.01,200000.0,115734.24,115693.95,34.6317,0.00024081666986109555,,,,,1757829600000,,,,,,,2025-09-14 06:00:00,6,1,0.9980267284282593,-0.0627905195295082,9,
115805.39,115734.24,115832.46,115805.39,115734.23,27.26526,0.00023547021971368566,,,,,1757833200000,0.0009753217835246262,,,,,,2025-09-14 07:00:00,6,1,0.9872754118382077,0.15901968802540595,9,
115926.47,115805.39,116157.43,115926.47,115759.44,36.35743,0.0003135672800289924,,,,,1757836800000,0.0010587628188594436,,,,,,2025-09-14 08:00:00,6,1,0.992439422656171,-0.12273545680807114,9,
116052.1,115926.47,116160.05,116052.1,115905.88,43.16544,0.00037198969556388674,,,,,1757840400000,0.0011270490238224763,,,,,,2025-09-14 09:00:00,6,1,-0.02617694830697347,-0.9996573249755808,9,
116027.25,116052.09,136063.73,116027.25,23365.6,83.9811,0.0009146388879147486,,,,,1757844000000,0.001057539696433356,,,,,,2025-09-14 10:00:00,6,1,0.19509032201825416,-0.9807852804028075,9,
115791.0,116027.25,116100.0,115791.0,114967.54,62.73908,0.0005426340086653194,,,,,1757847600000,0.0011557606850166053,,,,,,2025-09-14 11:00:00,6,1,-0.707106781184356,-0.707106781188739,9,
115776.32,115794.91,116896.43,115776.32,112696.64,34.45551,0.00029929267906458066,,,,,1757851200000,0.001128366197720834,,,,,,2025-09-14 12:00:00,6,1,0.08367784333422,0.9964928592493444,9,
115348.1,115776.32,115776.32,115348.1,115217.71,26.17518,0.00022672823545896655,,,,,1757854800000,0.00165930343926505,,,,,,2025-09-14 13:00:00,6,1,0.878817112662127,0.47715876025931064,9,
115396.28,115348.1,115650.0,115396.28,110470.6,35.29246,0.00031002092780889773,,,,,1757858400000,0.0016753111995450362,,,,,,2025-09-14 14:00:00,6,1,0.9003187714007924,0.43523109937522575,9,
115210.77,115396.28,115419.1,115210.77,115161.29,37.94527,0.00032920393337990475,,,,,1757862000000,0.001674033044926333,,,,,,2025-09-14 15:00:00,6,1,0.31647696718225193,-0.9486001946252826,9,
