,TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO,Dominance,fag
0,1756598400,8/31/2025,0,108833.53,109421.44,109410.18,108826.57,773.08,84365272.92,57.3726609337016,40
1,1756602000,8/31/2025,1,109410.18,109510.25,109457.72,109172.76,610.49,66753160.93,57.3726609337016,40
2,1756605600,8/31/2025,2,109457.72,109475.46,109252.17,109211.76,261.26,28569882.21,57.3726609337016,40
3,1756609200,8/31/2025,3,109252.17,109404.7,109248.19,109197.02,245.96,26883238.7,57.3726609337016,40
4,1756612800,8/31/2025,4,109248.19,109257.29,108837.53,108710.64,281.26,30643495.37,57.3726609337016,40
5,1756616400,8/31/2025,5,108837.53,108837.93,108784.04,108595.14,250.53,27231091.78,57.3726609337016,40
6,1756620000,8/31/2025,6,108784.04,108803.63,108744.19,108559.05,160.12,17407113.23,57.3726609337016,40
7,1756623600,8/31/2025,7,108744.19,108855.48,108740.65,108699.25,158.25,17215529.46,57.3726609337016,40
8,1756627200,8/31/2025,8,108740.65,109049.81,109043.69,108736.93,172.07,18742965.58,57.3726609337016,40
9,1756630800,8/31/2025,9,109043.69,109129.52,108531.49,108480.08,370.82,40352849.95,57.3726609337016,40
10,1756634400,8/31/2025,10,108531.49,108655.03,108596.13,108344.58,378.39,41048116.17,57.3726609337016,40
11,1756638000,8/31/2025,11,108596.13,108624.51,108412.38,108352.37,210.22,22803448.18,57.3726609337016,40
12,1756641600,8/31/2025,12,108412.38,108501.99,108344.91,108329.12,338.19,36660374.23,57.3726609337016,40
13,1756645200,8/31/2025,13,108344.91,108464.25,108429.87,108216.83,512.97,55562919.59,57.3726609337016,40
14,1756648800,8/31/2025,14,108429.87,108528.5,108485.72,108285.7,395.59,42886148.34,57.3726609337016,40
15,1756652400,8/31/2025,15,108485.72,108864.9,108830.14,108481.43,347.24,37727611.51,57.3726609337016,40
