TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO,Dominance,fag
1756598400,2025-08-31,0,108833.53,109421.44,109410.18,108826.57,773.08,0.0070782299078194,57.3726609337016,40.0
1756602000,2025-08-31,1,109410.18,109510.25,109457.72,109172.76,610.49,0.0055813552922857,57.3726609337016,40.0
1756605600,2025-08-31,2,109457.72,109475.46,109252.17,109211.76,261.26,0.002390014813408,57.3726609337016,40.0
1756609200,2025-08-31,3,109252.17,109404.7,109248.19,109197.02,245.96,0.002250664030989,57.3726609337016,40.0
1756612800,2025-08-31,4,109248.19,109257.29,108837.53,108710.64,281.26,0.0025819030073732,57.3726609337016,40.0
1756616400,2025-08-31,5,108837.53,108837.93,108784.04,108595.14,250.53,0.0023039564049843,57.3726609337016,40.0
1756620000,2025-08-31,6,108784.04,108803.63,108744.19,108559.05,160.12,0.0014730140459782,57.3726609337016,40.0
1756623600,2025-08-31,7,108744.19,108855.48,108740.65,108699.25,158.25,0.0014549700335934,57.3726609337016,40.0
1756627200,2025-08-31,8,108740.65,109049.81,109043.69,108736.93,172.07,0.0015794428933682,57.3726609337016,40.0
1756630800,2025-08-31,9,109043.69,109129.52,108531.49,108480.08,370.82,0.0034109777458583,57.3726609337016,40.0
1756634400,2025-08-31,10,108531.49,108655.03,108596.13,108344.58,378.39,0.0034864399638643,57.3726609337016,40.0
1756638000,2025-08-31,11,108596.13,108624.51,108412.38,108352.37,210.22,0.0019381709156596,57.3726609337016,40.0
1756641600,2025-08-31,12,108412.38,108501.99,108344.91,108329.12,338.19,0.0031200640194808,57.3726609337016,40.0
1756645200,2025-08-31,13,108344.91,108464.25,108429.87,108216.83,512.97,0.0047334917510468,57.3726609337016,40.0
1756648800,2025-08-31,14,108429.87,108528.5,108485.72,108285.7,395.59,0.0036482332980592,57.3726609337016,40.0
1756652400,2025-08-31,15,108485.72,108864.9,108830.14,108481.43,347.24,0.0031937312952096,57.3726609337016,40.0
